Incident ID,Incident Date,State,County,Address
2553843,24-03-2023,Louisiana,Caddo,1800 block of Logan St
2539065,05-03-2023,Louisiana,Caddo,4725 Greenwood Rd
2508522,22-01-2023,Louisiana,Caddo,1600 Sugar Ln
419826,23-09-2015,Georgia,Gwinnett,1300 block of Reddington Lane
417013,20-09-2015,Oklahoma,Tulsa,Pine and Yale
357667,14-06-2015,Oklahoma,Tulsa,1800 block of North Kingston
290098,06-02-2015,Oklahoma,Tulsa,1219 N. Sheridan Road
1226923,06-10-2018,Oklahoma,Tulsa,9453 E 31st St
1400095,20-05-2019,Oklahoma,Tulsa,8118 E 16th St
2427775,30-09-2022,Oklahoma,Tulsa,4929 N Peoria Ave
2318310,01-06-2022,Oklahoma,Tulsa,6161 S Yale Ave
418318,17-09-2015,South Dakota,Charles Mix,36705 379th Street
415687,17-09-2015,Michigan,Calhoun,500 block of W. Broadwell Street
413001,13-09-2015,Florida,Marion,1910 South Pine Avenue
1588308,04-01-2020,Florida,Marion,800 block of NW 6th Ter
2492448,01-01-2023,Florida,Marion,1600 block of SW 5th St
412487,12-09-2015,New York,Monroe,36 Woodward Street
398361,19-08-2015,New York,Monroe,500 Genesee St
341162,16-05-2015,New York,Monroe,188 Lewis Street
501168,07-02-2016,New York,Monroe,547 State St
780792,22-02-2017,New York,Monroe,191 Genesee St
1799307,19-09-2020,New York,Monroe,278 Pennsylvania Ave
1775249,25-08-2020,New York,Monroe,70 block of Flower St
1765890,15-08-2020,New York,Monroe,501 Thurston Rd
1731349,11-07-2020,New York,Monroe,485 N Clinton Ave
2163306,09-11-2021,New York,Monroe,Clifton St and Jefferson Ave
2119583,19-09-2021,New York,Monroe,300 block of Driving Park Ave
1917661,01-02-2021,New York,Monroe,400 block of Lyell Avenue
2480430,13-12-2022,New York,Monroe,Atlantic Ave and Illinois St
2349723,05-07-2022,New York,Monroe,485 N Clinton Ave
2252500,13-03-2022,New York,Monroe,471 State St
411888,08-09-2015,Georgia,Colquitt,
412040,07-09-2015,Minnesota,Hennepin,Channel Drive
408276,05-09-2015,Florida,Volusia,300 block of Pearl Street
317165,03-04-2015,Florida,Volusia,300 block of Henry Butts Drive
588835,23-02-2015,Florida,Volusia,Sheridan Road
510769,23-02-2016,Florida,Volusia,1042 Sheridan Road
1686747,23-05-2020,Florida,Volusia,13 S Atlantic Ave
408256,05-09-2015,Missouri,Boone,1509 Ashley Street
1725946,05-07-2020,Missouri,Boone,Volunteer Dr and Grace Ln
2166768,14-11-2021,Missouri,Boone,19 N 5th St
2202025,01-01-2022,Missouri,Boone,122 S 9th St
404238,29-08-2015,Tennessee,Sullivan,618 Henson Road
597176,07-07-2016,Tennessee,Sullivan,536 Volunteer Pkwy
405133,29-08-2015,Texas,Smith,638 ENE Loop 323
402623,27-08-2015,Florida,St. Johns,S Bellagio Dr
403669,27-08-2015,California,Monterey,928 Blanco Circle
775903,15-02-2017,California,Monterey,30 Soledad Street
749769,12-01-2017,California,Monterey,500 block of Sunrise St
401884,26-08-2015,Minnesota,Hennepin,5000 block of Drew Ave N
402051,26-08-2015,Florida,Palm Beach,800 block of 19th Street
1102900,29-04-2018,Florida,Palm Beach,1969 S Military Trail
1774138,24-08-2020,Florida,Palm Beach,1000 block of 18th St
2465213,22-11-2022,Florida,Palm Beach,600 block of Snead Cir
400091,23-08-2015,California,Stanislaus,1100 block of Kansas Avenue
1145709,20-06-2018,California,Stanislaus,2300 block of West Hatch Road
1068615,12-03-2018,California,Stanislaus,2000 block of Robertson Rd
1581590,27-12-2019,California,Stanislaus,1900 block of Vernon Ave
399564,22-08-2015,New Mexico,Chaves,302 East Reed Street
577574,11-06-2016,New Mexico,Chaves,2300 block of Davis Ave
1295294,06-01-2019,New Mexico,Chaves,1300 block of W College Blvd
399212,21-08-2015,North Carolina,Durham,2700 block of Hinson Drive
1735470,14-07-2020,North Carolina,Durham,200 Block of S Benjamine St
2188260,13-12-2021,North Carolina,Durham,Eugene St and Mathison St
2094457,18-08-2021,North Carolina,Durham,Ridgeway Ave and Wabash St
2037887,17-06-2021,North Carolina,Durham,1600 block of Holloway St
2018495,27-05-2021,North Carolina,Durham,1200 block of Fayetteville St
2412487,11-09-2022,North Carolina,Durham,4400 block of NC-55
2237058,19-02-2022,North Carolina,Durham,1400 E Cornwallis Rd
2514902,31-01-2023,North Carolina,Durham,4100 block of Sudbury Rd
2492611,01-01-2023,North Carolina,Durham,1000 N Miami Blvd
395718,16-08-2015,South Carolina,Marlboro,Highway 38N
590233,26-06-2016,South Carolina,Marlboro,Highway 38 N
2368110,24-07-2022,South Carolina,Marlboro,614 Hwy 15-401 Bypass E
395549,15-08-2015,South Carolina,Orangeburg,2868 Bamberg Road
391263,09-08-2015,Mississippi,Scott,Poplar St
390914,08-08-2015,North Carolina,Gaston,4908 Greenwood Dr
1850693,12-11-2020,North Carolina,Gaston,1225 Union Rd
1692496,30-05-2020,North Carolina,Gaston,3000 block of Earl Ln
390774,08-08-2015,Arkansas,Mississippi,833 Anderson Street
1719645,27-06-2020,Arkansas,Mississippi,600 block of Parkway Dr
390050,07-08-2015,Vermont,Washington,3182 Airport Rd
389057,06-08-2015,South Carolina,Richland,1505 Garden Plaza
934036,16-09-2017,South Carolina,Richland,920 Lady Street
769511,07-02-2017,South Carolina,Richland,5500 block of Fairfield Road
1485340,22-08-2019,South Carolina,Richland,851 Bush River Rd
1289877,01-01-2019,South Carolina,Richland,1709 Decker Blvd
2080733,02-08-2021,South Carolina,Richland,6908 Two Notch Rd
2280204,16-04-2022,South Carolina,Richland,100 Columbiana Cir
2252792,13-03-2022,South Carolina,Richland,810 Pulaski St
2584240,29-04-2023,South Carolina,Richland,600 Beckman Rd
381433,25-07-2015,Virginia,Hopewell,500 block of N. 7th Ave
2339866,24-06-2022,Virginia,Hopewell,Elm St and Arlington Rd
380162,23-07-2015,Louisiana,Lafayette,3141 Johnson Street
517895,07-03-2016,Louisiana,Lafayette,800 block of Martin Luther King Jr. Drive
1012704,21-12-2017,Louisiana,Lafayette,1500 block of N University Avenue
1824979,15-10-2020,Louisiana,Lafayette,100 block of Laser Ln
1704873,14-06-2020,Louisiana,Lafayette,400 block of Jefferson St
2196827,25-12-2021,Louisiana,Lafayette,2100 block of NE Evangeline Thruway
2291712,01-05-2022,Louisiana,Lafayette,500 Jefferson St
2584808,30-04-2023,Louisiana,Lafayette,W Congress Ave and University Ave
379166,22-07-2015,Georgia,Gwinnett,5500 block of Old Atlanta Road
378452,21-07-2015,Florida,Miami-Dade,Northwest 25th Avenue and Miami Gardens Drive
359215,16-06-2015,Florida,Miami-Dade,600 block of Northwest 177th Street
687375,28-10-2016,Florida,Miami-Dade,Northwest 173rd Terrace and 27th Avenue
1750548,30-07-2020,Florida,Miami-Dade,16701 NW 42 Ave
2496391,05-01-2023,Florida,Miami-Dade,17647 NW 27th Ave
2497601,01-01-2023,Florida,Miami-Dade,NW 171st St and NW 30th Ave
377878,20-07-2015,New York,Bronx,E. 153rd St. and the Grand Concourse
357701,13-06-2015,New York,Bronx,2409 Creston Avenue
334047,03-05-2015,New York,Bronx,University Avenue
640677,28-08-2016,New York,Bronx,514 E 156th St
907555,06-08-2017,New York,Bronx,Wickham Ave
907546,06-08-2017,New York,Bronx,Unionport Rd
879412,30-06-2017,New York,Bronx,1650 Grand Concourse
1190035,18-08-2018,New York,Bronx,925 Allerton Ave
1139320,12-06-2018,New York,Bronx,W 166th St and  Summit Ave
1559257,27-11-2019,New York,Bronx,E 153rd St and Courtlandt Ave
1754363,03-08-2020,New York,Bronx,450 St Ann's Ave
1710537,20-06-2020,New York,Bronx,Mount Eden Pkwy and Monroe Ave
1711134,20-06-2020,New York,Bronx,Mapes Ave
1704217,12-06-2020,New York,Bronx,E 233rd St and Bronx River Pkwy
2169494,17-11-2021,New York,Bronx,815 Burke Ave
2119470,18-09-2021,New York,Bronx,Teller Ave and E 172nd St
2108560,05-09-2021,New York,Bronx,4848 White Plains Rd
2044701,25-06-2021,New York,Bronx,Zerega Ave and Watson Ave
2005196,15-05-2021,New York,Bronx,1625 Webster Ave
2489614,28-12-2022,New York,Bronx,851 E Tremont Ave
2479678,12-12-2022,New York,Bronx,388 E 141st St
2475554,06-12-2022,New York,Bronx,Daly Ave and E 180th St
2411007,09-09-2022,New York,Bronx,810 Astor Ave
2277011,12-04-2022,New York,Bronx,2825 Olinville Ave
2571130,13-04-2023,New York,Bronx,1859 Westchester Ave
2522557,10-02-2023,New York,Bronx,631 E Tremont Ave
