Incident ID,Incident Date,State,State Code,County,City,City Or County,Address,# Killed,# Injured
1244754,31-10-2018,Michigan,MI,Wayne,Detroit,Detroit,19000 block of Langholm St,1,3
1184206,10-08-2018,Michigan,MI,Wayne,Detroit,Detroit,6300 block of Vinewood St,0,4
1057518,26-02-2018,Michigan,MI,Wayne,Detroit,Detroit,22700 Fenkell Ave,5,0
1047761,11-02-2018,Michigan,MI,Wayne,Detroit,Detroit,19432 Lamont St,4,3
1545955,09-11-2019,Michigan,MI,Wayne,Detroit,Detroit,3800 block of E McNichols Rd,0,4
1540240,02-11-2019,Michigan,MI,Wayne,Detroit,Detroit,7000 block of E. Kirby,1,4
1536706,27-10-2019,Michigan,MI,Wayne,Detroit,Detroit,East Outer Dr and Helen St,0,4
1404580,25-05-2019,Michigan,MI,Wayne,Detroit,Detroit,3400 block of Devonshire,3,2
1812049,01-10-2020,Michigan,MI,Wayne,Detroit,Detroit,15018 Houston Whittier St,0,5
1807325,28-09-2020,Michigan,MI,Wayne,Detroit,Detroit,6609 Michigan Ave,0,6
1774123,24-08-2020,Michigan,MI,Wayne,Detroit,Detroit,11938 E McNichols Rd,0,4
1750250,29-07-2020,Michigan,MI,Wayne,Detroit,Detroit,5200 block of Canton St,0,4
1739920,19-07-2020,Michigan,MI,Wayne,Detroit,Detroit,McKinney St and Meuse St,1,3
