Incident ID,Incident Date,# Injured
2492601,01-01-2023,3
266570,21-12-2014,2
268910,21-12-2014,4
1577046,20-12-2019,6
266424,21-12-2014,8
433146,19-10-2015,6
266407,20-12-2014,0
124131,09-04-2014,5
382459,27-07-2015,5
278927,13-01-2015,2
676686,15-10-2016,5
1062466,04-03-2018,4
1440765,04-07-2019,4
1886974,26-12-2020,3
1772764,22-08-2020,3
1767747,18-08-2020,4
1679086,13-05-2020,4
1639413,13-03-2020,4
2133962,05-10-2021,3
2367157,23-07-2022,2
2503058,15-01-2023,2
264901,16-12-2014,4
1167806,20-07-2018,4
263556,15-12-2014,0
263376,14-12-2014,4
221577,15-11-2014,3
197384,28-09-2014,15
156125,06-07-2014,2
150299,24-06-2014,7
104721,07-02-2014,5
468787,19-12-2015,4
342589,18-05-2015,4
274867,06-01-2015,3
659289,17-09-2016,6
652175,10-09-2016,3
640203,27-08-2016,4
617789,31-07-2016,1
554027,05-05-2016,3
547827,25-04-2016,5
1015336,26-12-2017,5
952220,03-10-2017,4
852676,26-05-2017,4
829073,26-04-2017,4
752222,16-01-2017,8
739766,01-01-2017,7
1277327,15-12-2018,5
1267682,01-12-2018,5
1262013,23-11-2018,5
1087021,08-04-2018,2
1062123,03-03-2018,4
1370795,14-04-2019,2
1306920,20-01-2019,4
1886849,26-12-2020,3
1854149,16-11-2020,4
1832014,22-10-2020,3
1785358,03-09-2020,3
1746160,25-07-2020,3
2119701,19-09-2021,4
2018931,28-05-2021,6
1990600,28-04-2021,5
1899819,11-01-2021,4
1893754,03-01-2021,6
1893744,03-01-2021,8
2434128,09-10-2022,3
2377529,03-08-2022,5
2373111,29-07-2022,4
2334512,19-06-2022,5
2296224,07-05-2022,4
2281483,17-04-2022,3
2274296,09-04-2022,4
2235366,16-02-2022,3
2214013,18-01-2022,4
263382,13-12-2014,5
127381,20-04-2014,2
310573,21-03-2015,4
508341,20-02-2016,3
500556,06-02-2016,6
965066,21-10-2017,4
809048,01-04-2017,4
1523606,10-10-2019,2
1886913,26-12-2020,2
1850981,12-11-2020,4
1849308,10-11-2020,7
1793559,13-09-2020,4
1750611,30-07-2020,5
2190367,12-12-2021,5
1953202,14-03-2021,4
1894979,04-01-2021,5
2433539,09-10-2022,6
2352780,06-07-2022,4
262202,12-12-2014,4
154971,05-07-2014,4
521821,12-03-2016,4
1399820,19-05-2019,5
1777607,27-08-2020,3
2098321,22-08-2021,5
2087433,10-08-2021,4
2065252,17-07-2021,6
2432772,07-10-2022,4
2281541,17-04-2022,3
2238403,20-02-2022,3
2237697,19-02-2022,6
2546495,15-03-2023,2
259935,07-12-2014,4
334033,03-05-2015,4
777410,18-02-2017,3
1067061,11-03-2018,6
1429047,23-06-2019,10
2374750,31-07-2022,4
2201848,01-01-2022,4
226983,02-12-2014,5
783963,27-02-2017,4
226534,30-11-2014,5
375022,16-07-2015,2
275064,07-01-2015,3
594480,03-07-2016,4
864852,11-06-2017,4
1164110,15-07-2018,5
2126241,25-09-2021,5
2321532,05-06-2022,12
2314991,28-05-2022,6
226388,30-11-2014,4
207687,18-10-2014,4
115012,14-03-2014,4
403069,28-08-2015,3
387194,03-08-2015,5
385779,02-08-2015,9
358117,15-06-2015,4
330611,27-04-2015,4
723649,11-12-2016,4
671717,08-10-2016,4
613805,23-07-2016,4
595166,04-07-2016,7
579786,13-06-2016,5
572513,05-06-2016,4
962155,17-10-2017,4
916808,20-08-2017,4
1156480,05-07-2018,4
1106432,02-05-2018,4
1061748,03-03-2018,3
1525062,12-10-2019,3
1469344,05-08-2019,4
1459718,27-07-2019,11
1440257,05-07-2019,4
1321021,06-02-2019,3
1876039,12-12-2020,4
1859390,22-11-2020,6
1830875,21-10-2020,5
1817184,07-10-2020,3
1787655,07-09-2020,5
1772513,23-08-2020,3
1766574,17-08-2020,4
1735326,15-07-2020,5
1733702,13-07-2020,6
1732993,12-07-2020,3
1718238,27-06-2020,4
1713790,22-06-2020,5
1700371,08-06-2020,4
1652642,05-04-2020,4
1586839,02-01-2020,4
2196839,24-12-2021,4
2147114,21-10-2021,4
2093581,17-08-2021,5
2092469,16-08-2021,8
2090949,14-08-2021,4
2085396,08-08-2021,2
2021130,31-05-2021,4
1952151,13-03-2021,5
2404930,02-09-2022,4
2399576,27-08-2022,4
2362141,17-07-2022,4
2355398,10-07-2022,5
2340297,25-06-2022,4
2276339,12-04-2022,10
2210480,13-01-2022,3
2543748,11-03-2023,3
2522649,10-02-2023,4
226150,29-11-2014,3
98836,21-01-2014,3
414580,15-09-2015,4
337767,10-05-2015,3
308839,18-03-2015,3
564470,23-05-2016,5
917793,21-08-2017,4
918061,21-08-2017,3
880808,01-07-2017,2
830984,27-04-2017,3
748152,11-01-2017,3
1552068,18-11-2019,4
1425193,18-06-2019,4
1313291,26-01-2019,3
1837429,28-10-2020,3
1762951,12-08-2020,4
1753561,02-08-2020,5
2176667,27-11-2021,3
2040013,19-06-2021,4
1999423,09-05-2021,4
2362282,17-07-2022,4
2344954,30-06-2022,9
2573200,15-04-2023,3
2512343,26-01-2023,4
225903,29-11-2014,2
205298,13-10-2014,4
204477,12-10-2014,3
202981,08-10-2014,4
169326,04-08-2014,5
142818,03-06-2014,4
134823,13-05-2014,5
374602,15-07-2015,4
306897,14-03-2015,5
644723,30-08-2016,4
588867,26-06-2016,4
559042,14-05-2016,5
523044,15-03-2016,5
986816,12-11-2017,2
873847,22-06-2017,6
818932,13-04-2017,3
757001,22-01-2017,1
1234087,16-10-2018,4
1155906,04-07-2018,3
1484335,20-08-2019,4
1448578,15-07-2019,4
1434971,28-06-2019,7
1432989,27-06-2019,7
1411963,01-06-2019,5
1360333,31-03-2019,4
1821496,11-10-2020,4
1814148,04-10-2020,5
1744407,24-07-2020,2
1725690,05-07-2020,13
1725670,04-07-2020,5
1720781,30-06-2020,4
1704580,13-06-2020,5
1648205,29-03-2020,4
1588919,05-01-2020,4
2139198,11-10-2021,6
2109075,06-09-2021,5
2005776,16-05-2021,4
1990821,29-04-2021,5
1982260,19-04-2021,5
1926701,10-02-2021,4
2483489,17-12-2022,3
2468745,26-11-2022,4
2468162,25-11-2022,3
2438505,16-10-2022,4
2381321,07-08-2022,4
2368029,24-07-2022,8
2362912,18-07-2022,5
2291618,30-04-2022,4
2285860,23-04-2022,5
2247025,05-03-2022,4
2222383,29-01-2022,3
2564074,03-04-2023,3
225830,28-11-2014,4
212884,29-10-2014,5
201648,04-10-2014,2
178425,20-08-2014,5
174560,14-08-2014,3
162008,21-07-2014,4
150344,21-06-2014,5
134238,11-05-2014,7
128871,25-04-2014,3
428215,10-10-2015,6
404167,30-08-2015,4
272016,01-01-2015,5
696352,09-11-2016,4
691113,01-11-2016,5
621232,04-08-2016,4
537311,09-04-2016,4
481429,07-01-2016,3
1000479,03-12-2017,3
946138,30-09-2017,3
942522,26-09-2017,4
932526,13-09-2017,5
917838,21-08-2017,4
865186,10-06-2017,4
765559,31-01-2017,4
756504,21-01-2017,2
1242807,27-10-2018,5
1217150,24-09-2018,2
1212567,18-09-2018,4
